Date,Price
13-Nov-20,41.51
16-Nov-20,42.71
17-Nov-20,42.54
18-Nov-20,42.91
19-Nov-20,43.09
20-Nov-20,43.79
23-Nov-20,45
24-Nov-20,46.63
25-Nov-20,47.3
26-Nov-20,46.32
27-Nov-20,46.88
30-Nov-20,46.84
01-Dec-20,47.03
02-Dec-20,47.8
03-Dec-20,48.37
04-Dec-20,49.1
07-Dec-20,48.63
08-Dec-20,48.84
09-Dec-20,48.81
10-Dec-20,50.33
11-Dec-20,50.01
14-Dec-20,50.27
15-Dec-20,50.77
16-Dec-20,50.83
17-Dec-20,51.2
18-Dec-20,52.17
21-Dec-20,50.61
22-Dec-20,49.88
23-Dec-20,51.05
24-Dec-20,50.88
28-Dec-20,50.88
29-Dec-20,50.44
30-Dec-20,50.74
31-Dec-20,51.22
04-Jan-21,50.37
05-Jan-21,53.16
06-Jan-21,53.8
07-Jan-21,53.7
08-Jan-21,55.51
11-Jan-21,54.84
12-Jan-21,55.98
13-Jan-21,55.52
14-Jan-21,55.76
15-Jan-21,54.8
18-Jan-21,54.21
19-Jan-21,55.38
20-Jan-21,55.66
21-Jan-21,55.68
22-Jan-21,55.22
25-Jan-21,55.44
26-Jan-21,55.26
27-Jan-21,55.07
28-Jan-21,54.87
29-Jan-21,55.25
01-Feb-21,56.42
02-Feb-21,57.62
03-Feb-21,58.61
04-Feb-21,58.98
05-Feb-21,59.48
08-Feb-21,60.17
09-Feb-21,60.74
10-Feb-21,61.17
11-Feb-21,61.09
12-Feb-21,62.47
15-Feb-21,63.58
16-Feb-21,63.96
17-Feb-21,65.02
18-Feb-21,64.09
19-Feb-21,62.84
22-Feb-21,64.73
23-Feb-21,65.16
24-Feb-21,66.85
25-Feb-21,66.69
26-Feb-21,65.86
01-Mar-21,64.56
02-Mar-21,63.17
03-Mar-21,64.7
04-Mar-21,67.32
05-Mar-21,69.95
08-Mar-21,68
09-Mar-21,67.03
10-Mar-21,67.53
11-Mar-21,69.34
12-Mar-21,68.87
15-Mar-21,68.78
16-Mar-21,67.95
17-Mar-21,67.73
18-Mar-21,62.11
19-Mar-21,64
22-Mar-21,63.89
23-Mar-21,59.96
24-Mar-21,63.7
